"CurrentName","DNVoucher","Provenance","RowNum","YearPlanted","TreeNum","RowTree","FieldID"
"Eucalyptus leptopoda subsp. elevata","DN 8","Ilkurlka, WA",9,1993,3,"R009/T03","CCA0001"
"Eucalyptus leptopoda subsp. elevata","DN 8","Ilkurlka, WA",9,1993,4,"R009/T04","CCA0002"
"Eucalyptus mannensis subsp. mannensis","-","Giles, WA",9,1993,5,"R009/T05","CCA0003"
"Eucalyptus gamophylla","-","Kings Canyon, NT",9,1993,9,"R009/T09","CCA0004"
"Eucalyptus victrix","-","Gibson Desert, WA",9,1993,14,"R009/T14","CCA0005"
"Eucalyptus populnea subsp. bimbil","-","Nyngan, NSW",9,1993,15,"R009/T15","CCA0006"
"Eucalyptus populnea subsp. bimbil","-","Nyngan, NSW",9,1993,16,"R009/T16","CCA0007"
"Eucalyptus populnea subsp. bimbil","-","Nyngan, NSW",9,1993,17,"R009/T17","CCA0008"
"Eucalyptus populnea subsp. bimbil","-","Nyngan, NSW",9,1993,18,"R009/T18","CCA0009"
"Eucalyptus yilgarnensis","-","Unknown",9,1993,19,"R009/T19","CCA0010"
"Eucalyptus yilgarnensis","-","Unknown",9,1993,21,"R009/T21","CCA0011"
"Eucalyptus yilgarnensis","-","Unknown",9,1993,22,"R009/T22","CCA0012"
"Eucalyptus glomerosa","-","Warburton, WA",9,1993,25,"R009/T25","CCA0013"
"Eucalyptus alatissima","DN 7","Wanna Lakes, WA",9,1993,26,"R009/T26","CCA0014"
"Eucalyptus oxymitra","-","Petermann Ranges, NT",9,1993,28,"R009/T28","CCA0015"
"Eucalyptus socialis subsp. victoriensis","DN 113","Ooldea Range, SA",9,1993,31,"R009/T31","CCA0016"
"Eucalyptus socialis subsp. victoriensis","DN 113","Ooldea Range, SA",9,1993,32,"R009/T32","CCA0017"
"Eucalyptus socialis subsp. victoriensis","DN 113","Ooldea Range, SA",9,1993,33,"R009/T33","CCA0018"
"Eucalyptus socialis subsp. victoriensis","DN 113","Ooldea Range, SA",9,1993,34,"R009/T34","CCA0019"
"Eucalyptus pimpiniana","DN 110","Ooldea Range, SA",9,1993,35,"R009/T35","CCA0020"
"Eucalyptus pimpiniana","DN 110","Ooldea Range, SA",9,1993,37,"R009/T37","CCA0021"
"Eucalyptus suggrandis subsp. promiscua","DN 311","Dragon Rocks, WA",10,1993,1,"R010/T01","CCA0022"
"Eucalyptus suggrandis subsp. promiscua","DN 311","Dragon Rocks, WA",10,1993,2,"R010/T02","CCA0023"
"Eucalyptus suggrandis subsp. promiscua","DN 311","Dragon Rocks, WA",10,1993,4,"R010/T04","CCA0024"
"Eucalyptus ebbanoensis subsp. photina","DN 270","Mt Michael, WA",10,1993,6,"R010/T06","CCA0025"
"Eucalyptus ebbanoensis subsp. photina","DN 270","Mt Michael, WA",10,1993,7,"R010/T07","CCA0026"
"Eucalyptus ebbanoensis subsp. photina","DN 270","Mt Michael, WA",10,1993,8,"R010/T08","CCA0027"
"Eucalyptus leptopoda subsp. arctata","DN 291","Ballidu, WA",10,1993,11,"R010/T11","CCA0028"
"Eucalyptus leptopoda subsp. arctata","DN 291","Ballidu, WA",10,1993,12,"R010/T12","CCA0029"
"Eucalyptus steedmanii","DN 317","Forrestania, WA",10,1993,13,"R010/T13","CCA0030"
"Eucalyptus steedmanii","DN 317","Forrestania, WA",10,1993,14,"R010/T14","CCA0031"
"Eucalyptus steedmanii","DN 317","Forrestania, WA",10,1993,15,"R010/T15","CCA0032"
"Eucalyptus myriadena","DN 316","Hyden, WA",10,1993,17,"R010/T17","CCA0033"
"Eucalyptus myriadena","DN 316","Hyden, WA",10,1993,18,"R010/T18","CCA0034"
"Eucalyptus myriadena","DN 316","Hyden, WA",10,1993,19,"R010/T19","CCA0035"
"Eucalyptus myriadena","DN 316","Hyden, WA",10,1993,20,"R010/T20","CCA0036"
"Eucalyptus ebbanoensis subsp. ebbanoensis","DN 293","Wongan Hills, WA",10,1993,24,"R010/T24","CCA0037"
"Eucalyptus ebbanoensis subsp. ebbanoensis","DN 293","Wongan Hills, WA",10,1993,25,"R010/T25","CCA0038"
"Eucalyptus ebbanoensis subsp. ebbanoensis","DN 293","Wongan Hills, WA",10,1993,26,"R010/T26","CCA0039"
"Eucalyptus oraria","DN 269","Dongara, WA",10,1993,27,"R010/T27","CCA0040"
"Eucalyptus oraria","DN 269","Dongara, WA",10,1993,28,"R010/T28","CCA0041"
"Eucalyptus oraria","DN 269","Dongara, WA",10,1993,29,"R010/T29","CCA0042"
"Eucalyptus oraria","DN 269","Dongara, WA",10,1993,30,"R010/T30","CCA0043"
"Eucalyptus obtusiflora subsp. dongarraensis","DN 266","Cliff Head, WA",10,1993,31,"R010/T31","CCA0044"
"Eucalyptus obtusiflora subsp. dongarraensis","DN 266","Cliff Head, WA",10,1993,32,"R010/T32","CCA0045"
"Eucalyptus obtusiflora subsp. dongarraensis","DN 266","Cliff Head, WA",10,1993,33,"R010/T33","CCA0046"
"Eucalyptus macrocarpa subsp. macrocarpa","DN 261","Badgingarra, WA",10,1993,35,"R010/T35","CCA0047"
"Eucalyptus macrocarpa subsp. macrocarpa","DN 261","Badgingarra, WA",10,1993,36,"R010/T36","CCA0048"
"Eucalyptus macrocarpa subsp. macrocarpa","DN 261","Badgingarra, WA",10,1993,37,"R010/T37","CCA0049"
"Eucalyptus platydisca","DN 133","Mt Norcott, WA",11,1993,1,"R011/T01","CCA0050"
"Eucalyptus platydisca","DN 133","Mt Norcott, WA",11,1993,2,"R011/T02","CCA0051"
"Eucalyptus flavida","DN 343","Bronco Plains, WA",11,1993,4,"R011/T04","CCA0052"
"Eucalyptus flavida","DN 343","Bronco Plains, WA",11,1993,5,"R011/T05","CCA0053"
"Eucalyptus flavida","DN 343","Bronco Plains, WA",11,1993,6,"R011/T06","CCA0054"
"Eucalyptus goniocarpa","DN 186","Lake King, WA",11,1993,7,"R011/T07","CCA0055"
"Eucalyptus goniocarpa","DN 186","Lake King, WA",11,1993,8,"R011/T08","CCA0056"
"Eucalyptus goniocarpa","DN 186","Lake King, WA",11,1993,9,"R011/T09","CCA0057"
"Eucalyptus goniocarpa","DN 186","Lake King, WA",11,1993,10,"R011/T10","CCA0058"
"Eucalyptus laevis","DN 120","Balladonia, WA",11,1993,11,"R011/T11","CCA0059"
"Eucalyptus laevis","DN 120","Balladonia, WA",11,1993,13,"R011/T13","CCA0060"
"Eucalyptus dundasii","DN 129","Fraser Range, WA",11,1993,14,"R011/T14","CCA0061"
"Eucalyptus dundasii","DN 129","Fraser Range, WA",11,1993,15,"R011/T15","CCA0062"
"Eucalyptus dundasii","DN 129","Fraser Range, WA",11,1993,16,"R011/T16","CCA0063"
"Eucalyptus dundasii","DN 129","Fraser Range, WA",11,1993,17,"R011/T17","CCA0064"
"Eucalyptus leptopoda subsp. subluta","DN 336","Callion, WA",11,1993,18,"R011/T18","CCA0065"
"Eucalyptus clelandii","DN 333","Callion, WA",11,1993,19,"R011/T19","CCA0066"
"Eucalyptus clelandii","DN 333","Callion, WA",11,1993,20,"R011/T20","CCA0067"
"Eucalyptus clelandii","DN 333","Callion, WA",11,1993,22,"R011/T22","CCA0068"
"Eucalyptus petraea","DN 339","Cardinnia Rocks, WA",11,1993,23,"R011/T23","CCA0069"
"Eucalyptus petraea","DN 339","Cardinnia Rocks, WA",11,1993,24,"R011/T24","CCA0070"
"Eucalyptus petraea","DN 339","Cardinnia Rocks, WA",11,1993,25,"R011/T25","CCA0071"
"Eucalyptus petraea","DN 339","Cardinnia Rocks, WA",11,1993,26,"R011/T26","CCA0072"
"Eucalyptus melanoxylon","DN 143","Lake Gilmore, WA",11,1993,27,"R011/T27","CCA0073"
"Eucalyptus melanoxylon","DN 143","Lake Gilmore, WA",11,1993,28,"R011/T28","CCA0074"
"Eucalyptus melanoxylon","DN 143","Lake Gilmore, WA",11,1993,30,"R011/T30","CCA0075"
"Eucalyptus vegrandis subsp. vegrandis","DN 207","Jerramungup, WA",11,1993,31,"R011/T31","CCA0076"
"Eucalyptus vegrandis subsp. vegrandis","DN 207","Jerramungup, WA",11,1993,32,"R011/T32","CCA0077"
"Eucalyptus vegrandis subsp. vegrandis","DN 207","Jerramungup, WA",11,1993,33,"R011/T33","CCA0078"
"Eucalyptus vegrandis subsp. vegrandis","DN 207","Jerramungup, WA",11,1993,34,"R011/T34","CCA0079"
"Eucalyptus kumarlensis","DN 141","Beete, WA",11,1993,35,"R011/T35","CCA0080"
"Eucalyptus kumarlensis","DN 141","Beete, WA",11,1993,36,"R011/T36","CCA0081"
"Eucalyptus kumarlensis","DN 141","Beete, WA",11,1993,38,"R011/T38","CCA0082"
"Eucalyptus educta","DN 335","Callion, WA",12,1993,1,"R012/T01","CCA0083"
"Eucalyptus educta","DN 335","Callion, WA",12,1993,2,"R012/T02","CCA0084"
"Eucalyptus wandoo subsp. pulverea","DN 285","Watheroo, WA",12,1993,5,"R012/T05","CCA0085"
